"Disaster Number","Declaration Date","Disaster Name","Incident Begin Date","Incident End Date","Declaration Type","State Code","State Name","Incident Type","Closeout Date","Region"
201,"06-23-1965","FLOODING","06-23-1965","06-23-1965","Major Disaster","KS","Kansas","Flood","03-04-1968",7
200,"06-19-1965","TORNADOES, SEVERE STORMS & FLOODING","06-19-1965","06-19-1965","Major Disaster","CO","Colorado","Tornado","03-01-1971",8
199,"06-19-1965","TORNADOES & FLOODING","06-19-1965","06-19-1965","Major Disaster","TX","Texas","Tornado","05-18-1967",6
198,"06-14-1965","FLOODING","06-14-1965","06-14-1965","Major Disaster","MO","Missouri","Severe Storm","09-27-1968",7
197,"05-26-1965","FLOODING","05-26-1965","05-26-1965","Major Disaster","SD","South Dakota","Flood","10-29-1968",8
196,"05-11-1965","EARTHQUAKE","05-11-1965","05-11-1965","Major Disaster","WA","Washington","Earthquake","12-17-1968",10
195,"05-10-1965","FLOODING","05-10-1965","05-10-1965","Major Disaster","ND","North Dakota","Flood","11-07-1967",8
194,"04-25-1965","TORNADOES, SEVERE STORMS & FLOODING","04-25-1965","04-25-1965","Major Disaster","IL","Illinois","Tornado","10-29-1968",5
193,"04-22-1965","FLOODING","04-22-1965","04-22-1965","Major Disaster","IA","Iowa","Flood","01-29-1970",7
192,"04-21-1965","TORNADOES, SEVERE STORMS & FLOODING","04-21-1965","04-21-1965","Major Disaster","WI","Wisconsin","Tornado","09-05-1967",5
191,"04-14-1965","TORNADOES & SEVERE STORMS","04-14-1965","04-14-1965","Major Disaster","OH","Ohio","Tornado","03-24-1967",5
